partner_id,region,vertical,partner_tier,months_as_partner,nps_score,nps_trend,support_tickets_last_quarter,avg_resolution_time_days,engagement_score,days_since_last_contact,num_active_deals,has_competitor_relationship,churn_probability,churned_next_quarter,avg_monthly_gtv,gtv_trend_3m,gtv_volatility,seasonal_autocorr_lag12,has_seasonality,gtv_vs_peers,gtv_vs_market_growth
partner_1,LATAM,Retail,Silver,38,3,declining,13,2.6,0.0,106,0,0,0.9585,1,25676.34,-12.88,0.0918,-0.3353,0,0.3929,-15.15
partner_2,NA,Tech,Bronze,51,8,improving,2,3.9,62.7,37,2,0,0.0033,0,5250.91,-8.96,0.0977,0.5167,1,0.1026,-12.53
partner_3,APAC,Retail,Gold,40,6,stable,3,5.2,23.6,48,2,0,0.0891,1,52123.68,8.71,0.1447,-0.303,0,0.4286,6.44
partner_4,LATAM,Retail,Silver,37,10,stable,0,1.7,100.0,0,6,0,0.0001,0,30540.24,9.09,0.2394,0.7044,1,0.5714,6.82
partner_5,EMEA,Manufacturing,Bronze,30,4,stable,9,6.1,17.4,71,0,0,0.9296,0,13281.64,1.5,0.0879,-0.3436,0,0.8462,0.91
partner_6,APAC,Tech,Gold,17,8,stable,3,2.8,57.6,39,3,1,0.0066,0,105834.61,-11.01,0.1154,-0.6047,0,0.6364,-14.58
partner_7,LATAM,Services,Bronze,19,2,stable,9,5.6,39.9,67,0,0,0.6329,0,6412.19,-15.1,0.332,0.2468,0,0.2857,-17.41
partner_8,LATAM,Tech,Bronze,46,8,stable,3,5.6,65.8,58,4,1,0.0327,0,11475.27,-10.52,0.1132,0.2609,0,0.6774,-14.09
partner_9,EMEA,Manufacturing,Bronze,7,6,stable,0,4.2,64.0,2,3,1,0.0019,0,10733.76,2.29,0.1054,-0.6246,0,0.7308,1.7
partner_10,NA,Tech,Silver,7,10,improving,0,3.9,79.2,9,4,0,0.0003,0,64864.21,0.86,0.3219,0.0472,0,1.0,-2.71
partner_11,NA,Manufacturing,Bronze,26,8,improving,1,4.9,70.3,22,3,0,0.0011,0,18320.81,8.84,0.2319,0.868,1,1.0,8.25
partner_12,APAC,Manufacturing,Bronze,47,9,improving,0,0.7,81.7,15,3,0,0.0007,0,9378.55,1.7,0.1048,-0.3359,0,0.5,1.11
partner_13,LATAM,Tech,Bronze,41,6,stable,4,5.8,63.9,35,0,1,0.0708,0,12443.26,8.03,0.1754,0.5474,1,0.7097,4.46
partner_14,APAC,Services,Bronze,37,3,improving,1,3.6,22.8,41,0,0,0.0343,0,19500.03,16.13,0.2037,0.5549,1,0.9677,13.82
partner_15,NA,Tech,Bronze,33,8,declining,1,1.4,34.6,10,2,1,0.0298,0,7181.7,-33.67,0.2001,0.7844,1,0.2821,-37.24
partner_16,EMEA,Retail,Silver,9,4,stable,4,4.7,7.8,80,0,1,0.9456,1,48271.23,-1.12,0.2092,0.734,1,0.8182,-3.39
partner_17,NA,Manufacturing,Bronze,22,3,declining,6,7.9,1.3,74,0,1,0.9865,1,6354.23,2.45,0.0852,-0.1882,0,0.303,1.87
partner_18,EMEA,Services,Bronze,7,7,stable,3,3.7,22.1,61,0,0,0.1353,0,15217.53,15.55,0.3242,-0.4701,0,0.881,13.24
partner_19,APAC,Retail,Silver,46,5,declining,5,2.6,9.8,26,0,0,0.1703,0,26190.67,5.38,0.0948,-0.3532,0,0.3125,3.11
partner_20,LATAM,Tech,Bronze,46,7,improving,2,0.9,54.8,72,3,0,0.02,0,5933.21,4.27,0.0979,-0.3709,0,0.1935,0.7
partner_21,LATAM,Services,Silver,17,6,declining,10,5.4,49.7,49,0,0,0.6501,1,10137.95,-11.14,0.2123,-0.1932,0,0.0952,-13.45
partner_22,NA,Manufacturing,Bronze,19,3,declining,12,4.4,34.1,105,1,0,0.8783,1,8204.11,-18.15,0.2257,0.6647,1,0.5758,-18.74
partner_23,APAC,Services,Bronze,21,7,improving,3,0.5,56.1,44,2,0,0.0152,0,13756.12,5.21,0.1737,0.2814,0,0.7742,2.9
partner_24,APAC,Tech,Bronze,54,5,declining,5,2.2,35.4,46,1,0,0.512,0,4240.33,-19.59,0.1581,-0.3859,0,0.1154,-23.16
partner_25,LATAM,Manufacturing,Bronze,31,7,improving,4,3.9,83.4,82,2,0,0.0168,0,11052.67,-15.31,0.3368,-0.0753,0,0.4783,-15.9
partner_26,EMEA,Tech,Bronze,47,10,stable,0,2.3,100.0,15,5,0,0.0001,0,4414.72,0.68,0.2162,0.1347,0,0.0625,-2.89
partner_27,NA,Services,Silver,29,5,declining,6,3.6,46.6,46,0,0,0.0666,0,34917.86,17.34,0.3828,0.0906,0,0.75,15.03
partner_28,EMEA,Tech,Bronze,43,7,improving,3,4.7,53.1,35,1,0,0.1399,0,29409.04,-1.85,0.2459,0.1432,0,1.0,-5.42
partner_29,EMEA,Manufacturing,Silver,33,6,declining,4,5.0,48.1,63,0,1,0.3168,0,22615.71,-3.49,0.0908,-0.0594,0,0.4762,-4.08
partner_30,LATAM,Tech,Silver,19,9,stable,0,2.1,88.3,26,1,0,0.0003,0,36197.15,0.69,0.3074,-0.3544,0,0.8235,-2.88
partner_31,LATAM,Manufacturing,Bronze,53,9,improving,0,2.1,71.0,13,6,0,0.0043,0,19063.65,33.2,0.4065,-0.3921,0,0.913,32.62
partner_32,APAC,Manufacturing,Silver,44,9,stable,1,2.2,62.9,22,4,1,0.0063,0,23668.08,-1.13,0.166,0.3221,0,0.3077,-1.72
partner_33,NA,Tech,Bronze,47,6,stable,4,5.4,13.7,41,1,1,0.5612,0,7911.45,4.47,0.2269,-0.1364,0,0.4615,0.9
partner_34,NA,Services,Bronze,57,8,stable,6,2.8,42.7,28,2,0,0.0159,0,10961.92,11.04,0.1976,-0.1294,0,0.7727,8.73
partner_35,NA,Tech,Bronze,17,7,declining,7,2.6,33.2,89,1,0,0.1456,0,7273.81,7.91,0.1012,-0.1452,0,0.3077,4.34
partner_36,EMEA,Manufacturing,Silver,8,3,declining,3,4.2,53.0,69,1,0,0.0713,0,13397.26,-4.84,0.0981,-0.2177,0,0.1429,-5.42
