partner_id,month_index,gtv
partner_1,0,24476.54
partner_1,1,23065.64
partner_1,2,22417.44
partner_1,3,25544.17
partner_1,4,24473.52
partner_1,5,23908.76
partner_1,6,29639.78
partner_1,7,25457.3
partner_1,8,28928.64
partner_1,9,24299.83
partner_1,10,26296.92
partner_1,11,25526.22
partner_1,12,21311.06
partner_1,13,29334.96
partner_1,14,25321.7
partner_1,15,27584.57
partner_1,16,23738.26
partner_1,17,25245.48
partner_1,18,23443.53
partner_1,19,28841.25
partner_1,20,26467.96
partner_1,21,26610.79
partner_1,22,29154.89
partner_1,23,28636.79
partner_1,24,27633.15
partner_1,25,22019.24
partner_1,26,23882.91
partner_10,0,35509.22
partner_10,1,39217.96
partner_10,2,39858.25
partner_10,3,38169.93
partner_10,4,43767.23
partner_10,5,42385.4
partner_10,6,42551.42
partner_10,7,40934.08
partner_10,8,48987.63
partner_10,9,55828.92
partner_10,10,51121.45
partner_10,11,71525.66
partner_10,12,64662.26
partner_10,13,69823.57
partner_10,14,69334.87
partner_10,15,79159.81
partner_10,16,63980.04
partner_10,17,53719.94
partner_10,18,71737.67
partner_10,19,82436.69
partner_10,20,82418.16
partner_10,21,86747.29
partner_10,22,99379.67
partner_10,23,94768.01
partner_10,24,102499.2
partner_10,25,89423.51
partner_10,26,91385.94
partner_100,0,8639.17
partner_100,1,9049.7
partner_100,2,11696.13
partner_100,3,9373.43
partner_100,4,8905.17
partner_100,5,10725.43
partner_100,6,8705.61
partner_100,7,9186.71
partner_100,8,10818.2
partner_100,9,9658.12
partner_100,10,8115.2
partner_100,11,10140.15
partner_100,12,9235.71
partner_100,13,11097.86
partner_100,14,9034.02
partner_100,15,10627.95
partner_100,16,11324.68
partner_100,17,8798.64
partner_100,18,9431.18
partner_100,19,9990.73
partner_100,20,8792.48
partner_100,21,9876.93
partner_100,22,9400.69
partner_100,23,9381.31
partner_100,24,9664.05
partner_100,25,9685.53
partner_100,26,9774.59
partner_1000,0,9310.79
partner_1000,1,10455.51
partner_1000,2,8832.58
partner_1000,3,9593.44
partner_1000,4,9650.87
partner_1000,5,9587.39
partner_1000,6,10653.62
partner_1000,7,11730.69
partner_1000,8,9518.91
partner_1000,9,10077.33
partner_1000,10,8852.32
partner_1000,11,10617.81
partner_1000,12,9126.57
partner_1000,13,12651.69
partner_1000,14,8016.6
partner_1000,15,11691.46
partner_1000,16,10578.64
partner_1000,17,8544.51
partner_1000,18,11857.01
partner_1000,19,8731.06
partner_1000,20,9322.09
partner_1000,21,8376.7
partner_1000,22,9483.67
partner_1000,23,9573.91
partner_1000,24,10423.5
partner_1000,25,11971.41
partner_1000,26,9130.92
partner_101,0,19441.61
partner_101,1,18828.62
partner_101,2,17383.21
partner_101,3,18043.41
partner_101,4,13751.75
partner_101,5,14970.55
partner_101,6,15090.47
partner_101,7,13646.38
partner_101,8,16683.6
partner_101,9,13816.93
partner_101,10,13491.39
partner_101,11,12128.01
partner_101,12,12231.15
partner_101,13,10345.13
partner_101,14,11128.11
partner_101,15,9862.45
partner_101,16,10170.65
partner_101,17,7481.66
partner_101,18,8576.2
partner_101,19,10652.71
partner_101,20,9674.41
partner_101,21,9719.48
partner_101,22,9399.91
partner_101,23,8468.88
partner_101,24,7282.26
partner_101,25,6571.85
partner_101,26,7856.84
partner_102,0,7909.59
partner_102,1,10275.78
partner_102,2,8832.04
partner_102,3,10633.96
partner_102,4,11471.1
partner_102,5,9204.17
partner_102,6,10199.27
partner_102,7,10048.87
partner_102,8,10274.96
partner_102,9,13065.67
partner_102,10,12553.68
partner_102,11,13457.76
partner_102,12,14774.84
partner_102,13,11914.78
partner_102,14,17266.36
partner_102,15,15435.06
partner_102,16,17610.69
partner_102,17,18565.71
partner_102,18,20780.58
partner_102,19,18905.92
partner_102,20,15732.96
partner_102,21,21002.33
partner_102,22,22270.64
partner_102,23,20464.33
partner_102,24,24214.69
partner_102,25,24046.97
partner_102,26,22579.68
partner_103,0,31374.11
partner_103,1,30436.75
partner_103,2,34989.47
partner_103,3,30265.2
partner_103,4,29889.9
partner_103,5,27663.69
partner_103,6,29546.79
partner_103,7,31275.75
partner_103,8,28633.79
partner_103,9,28044.35
partner_103,10,27160.29
partner_103,11,21540.06
partner_103,12,22248.97
partner_103,13,23308.47
partner_103,14,21535.78
partner_103,15,20248.02
partner_103,16,17972.91
partner_103,17,18672.95
partner_103,18,20517.04
partner_103,19,20405.8
partner_103,20,18461.77
partner_103,21,19721.98
partner_103,22,18266.39
partner_103,23,20665.56
partner_103,24,17889.37
partner_103,25,18979.51
partner_103,26,17667.11
partner_104,0,35015.02
partner_104,1,40124.41
partner_104,2,38115.07
partner_104,3,43411.26
partner_104,4,36755.24
partner_104,5,43167.22
partner_104,6,46268.64
partner_104,7,48466.1
partner_104,8,41665.98
partner_104,9,45885.17
partner_104,10,47361.27
partner_104,11,54521.67
partner_104,12,40837.91
partner_104,13,44238.41
partner_104,14,63277.04
partner_104,15,48804.05
partner_104,16,41309.08
partner_104,17,48708.83
partner_104,18,37973.17
partner_104,19,54601.74
partner_104,20,58516.86
partner_104,21,49951.09
partner_104,22,53176.16
partner_104,23,61890.15
partner_104,24,47456.17
partner_104,25,50685.97
partner_104,26,57945.74
partner_105,0,18916.08
partner_105,1,18552.43
partner_105,2,20844.05
partner_105,3,22918.49
partner_105,4,28201.05
partner_105,5,27921.46
partner_105,6,34585.65
partner_105,7,19152.9
partner_105,8,19668.88
partner_105,9,22315.09
partner_105,10,18928.18
partner_105,11,23379.18
partner_105,12,23821.13
partner_105,13,22761.26
partner_105,14,20030.15
partner_105,15,19731.97
partner_105,16,34404.8
partner_105,17,37097.07
partner_105,18,34286.64
partner_105,19,24876.16
partner_105,20,20544.35
partner_105,21,21738.33
partner_105,22,24126.62
partner_105,23,20571.14
partner_105,24,23138.23
partner_105,25,26382.61
partner_105,26,25487.37
partner_106,0,41207.48
partner_106,1,32155.72
partner_106,2,38032.74
partner_106,3,46903.03
partner_106,4,37523.43
partner_106,5,43776.23
partner_106,6,47678.73
partner_106,7,53903.85
partner_106,8,45139.6
partner_106,9,45666.3
partner_106,10,49476.94
partner_106,11,52465.01
partner_106,12,50856.29
partner_106,13,58161.28
partner_106,14,49355.24
partner_106,15,55321.9
partner_106,16,58187.75
partner_106,17,54497.88
partner_106,18,62710.64
partner_106,19,59834.23
partner_106,20,64819.82
partner_106,21,62414.65
partner_106,22,64742.43
partner_106,23,59562.85
partner_106,24,60709.3
partner_106,25,74117.2
partner_106,26,71568.02
partner_107,0,12663.17
partner_107,1,15966.15
partner_107,2,18939.07
partner_107,3,17405.06
partner_107,4,18191.69
partner_107,5,12808.55
partner_107,6,17975.39
partner_107,7,19730.68
partner_107,8,20374.3
partner_107,9,21770.71
partner_107,10,19832.49
partner_107,11,20323.04
partner_107,12,18272.32
partner_107,13,21064.13
partner_107,14,19168.51
partner_107,15,18241.63
partner_107,16,20348.98
partner_107,17,26797.42
partner_107,18,23109.6
partner_107,19,24762.11
partner_107,20,23446.9
partner_107,21,20698.1
partner_107,22,28126.58
