partner_id,region,vertical,partner_tier,months_as_partner,nps_score,nps_trend,support_tickets_last_quarter,avg_resolution_time_days,engagement_score,days_since_last_contact,num_active_deals,has_competitor_relationship,churn_probability,churned_next_quarter,avg_monthly_gtv,gtv_trend_3m,gtv_trend_yoy_3m,gtv_volatility,seasonal_autocorr_lag12,has_seasonality,gtv_vs_peers,gtv_vs_market_growth,gtv_seasonal_deviation_pct,gtv_ramp_vs_cohort,scoring_path,snapshot_role,snapshot_cutoff_month
partner_1,LATAM,Retail,Certified,32,4,stable,1,5.5,69.7,27,0,0,0.0764,0,25676.34,-12.88,-3.2,0.0918,-0.3353,0,0.5714,-15.32,0.0,0.0,mature,train,26
partner_2,NA,Tech,Registered,45,7,improving,0,4.0,71.1,37,5,0,0.0396,0,7780.93,6.5,12.77,0.1057,-0.041,0,0.4359,3.52,0.0,0.0,mature,train,26
partner_3,APAC,Retail,Strategic,34,8,stable,1,0.5,53.1,16,2,0,0.0044,0,149643.02,11.53,29.89,0.2021,-0.1168,0,0.8571,9.09,0.0,0.0,mature,train,26
partner_4,LATAM,Retail,Certified,31,6,stable,0,6.0,78.5,33,1,0,0.0056,0,24142.49,46.28,-2.97,0.2692,0.9075,1,0.4286,43.84,0.34,0.0,mature,train,26
partner_5,EMEA,Manufacturing,Registered,24,8,improving,5,5.7,65.4,43,2,0,0.0191,0,5561.28,-2.72,-0.48,0.1028,-0.6057,0,0.3077,-4.9,0.0,0.0,mature,train,26
partner_6,APAC,Tech,Strategic,11,10,improving,1,1.2,96.4,15,8,0,0.0,0,68824.0,0.44,-1.97,0.0908,0.5696,1,0.4545,-2.54,-2.34,0.0,mature,train,26
partner_7,LATAM,Services,Registered,13,3,declining,3,4.7,51.4,84,0,1,0.8083,1,5680.55,-17.45,-39.71,0.2312,0.0186,0,0.1429,-18.58,0.0,0.0,mature,train,26
partner_8,LATAM,Tech,Registered,40,10,stable,0,1.9,89.4,18,1,0,0.0004,0,6286.91,17.61,15.23,0.0893,0.1047,0,0.3548,14.63,0.0,0.0,mature,train,26
partner_9,EMEA,Manufacturing,Registered,1,8,stable,0,2.7,64.4,27,2,0,0.0017,0,8498.21,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,-49.93,new_partner,train,26
partner_10,NA,Tech,Certified,1,8,declining,3,2.7,62.7,62,3,0,0.0102,0,28669.44,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,-6.53,new_partner,train,26
partner_11,NA,Manufacturing,Registered,20,6,stable,4,6.3,26.2,26,2,0,0.0123,0,8815.46,1.78,-1.68,0.2623,0.8039,1,0.5455,-0.4,-6.17,0.0,mature,train,26
partner_12,APAC,Manufacturing,Registered,41,8,improving,2,0.5,46.2,39,4,0,0.0099,0,7666.9,-4.48,6.02,0.107,-0.3009,0,0.5833,-6.66,0.0,0.0,mature,train,26
partner_13,LATAM,Tech,Registered,35,4,stable,4,2.9,57.9,92,1,1,0.1818,0,8430.46,-8.4,-0.98,0.1823,0.6905,1,0.4516,-11.38,3.2,0.0,mature,train,26
partner_14,APAC,Services,Registered,31,8,improving,1,3.6,67.4,0,3,0,0.0007,0,8865.82,33.72,12.77,0.2035,0.564,1,0.5806,32.59,14.91,0.0,mature,train,26
partner_15,NA,Tech,Registered,27,4,declining,8,5.3,6.6,56,0,1,0.9434,1,8358.99,39.19,1.64,0.239,0.796,1,0.4615,36.21,-3.28,0.0,mature,train,26
partner_16,EMEA,Retail,Certified,3,8,declining,1,3.7,62.2,5,2,0,0.0075,0,35581.41,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,11.0,new_partner,train,26
partner_17,NA,Manufacturing,Registered,16,3,declining,4,2.7,15.8,64,0,1,0.9648,1,9958.95,6.23,15.07,0.0982,-0.441,0,0.7576,4.05,0.0,0.0,mature,train,26
partner_18,EMEA,Services,Registered,1,5,declining,7,4.5,27.5,88,0,1,0.7359,1,8061.72,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,-12.55,new_partner,train,26
partner_19,APAC,Retail,Certified,40,7,improving,3,5.7,38.2,58,1,0,0.0857,0,23152.78,-3.77,2.84,0.1086,-0.0572,0,0.5,-6.21,0.0,0.0,mature,train,26
partner_20,LATAM,Tech,Registered,40,5,stable,4,1.6,64.5,41,1,1,0.0909,0,10957.29,-15.54,-15.27,0.0917,-0.3901,0,0.7419,-18.52,0.0,0.0,mature,train,26
partner_21,LATAM,Services,Certified,11,3,declining,4,5.2,22.2,81,0,1,0.9773,1,18137.43,-11.65,-25.69,0.1822,0.3411,0,0.2381,-12.78,0.0,0.0,mature,train,26
partner_22,NA,Manufacturing,Registered,13,9,improving,1,1.5,69.9,15,3,0,0.0012,0,6574.78,-3.09,-7.19,0.2521,0.771,1,0.2424,-5.27,-14.71,0.0,mature,train,26
partner_23,APAC,Services,Registered,15,10,stable,3,3.3,60.1,32,2,0,0.0011,0,8119.21,16.49,43.65,0.2601,-0.0238,0,0.5484,15.36,0.0,0.0,mature,train,26
partner_24,APAC,Tech,Registered,48,8,stable,4,3.8,33.4,48,3,0,0.0601,0,3832.5,-5.99,-29.77,0.1902,0.4132,0,0.0769,-8.97,0.0,0.0,mature,train,26
partner_25,LATAM,Manufacturing,Registered,25,6,declining,6,4.2,45.0,83,0,1,0.6065,1,5778.16,-18.84,-49.12,0.3583,-0.3964,0,0.2174,-21.02,0.0,0.0,mature,train,26
partner_26,EMEA,Tech,Registered,41,7,stable,3,2.5,71.0,40,2,0,0.0066,0,5118.03,-6.13,-14.76,0.139,0.0049,0,0.125,-9.11,0.0,0.0,mature,train,26
partner_27,NA,Services,Certified,23,5,declining,1,4.7,42.0,60,0,0,0.0684,0,39783.44,14.62,88.78,0.3404,-0.485,0,0.6,13.49,0.0,0.0,mature,train,26
partner_28,EMEA,Tech,Registered,37,5,stable,2,3.5,61.9,84,4,0,0.1076,0,11021.93,3.38,46.73,0.2005,-0.2153,0,0.5938,0.4,0.0,0.0,mature,train,26
partner_29,EMEA,Manufacturing,Certified,27,4,declining,4,5.0,42.4,24,0,1,0.2862,0,22025.09,-8.51,1.24,0.0995,-0.1184,0,0.5714,-10.69,0.0,0.0,mature,train,26
partner_30,LATAM,Tech,Certified,13,10,stable,0,3.4,100.0,4,2,0,0.0001,0,28563.46,0.41,-27.3,0.2803,-0.2124,0,0.7059,-2.57,0.0,0.0,mature,train,26
partner_31,LATAM,Manufacturing,Registered,47,7,improving,3,1.7,37.8,25,1,0,0.0205,0,7604.0,13.88,68.57,0.3236,-0.3874,0,0.4783,11.7,0.0,0.0,mature,train,26
partner_32,APAC,Manufacturing,Certified,38,6,declining,2,3.6,64.8,28,4,0,0.0112,0,32636.31,14.76,49.87,0.2757,0.3168,0,0.6154,12.58,0.0,0.0,mature,train,26
partner_33,NA,Tech,Registered,41,10,stable,0,0.5,100.0,9,2,0,0.0,0,5737.4,-7.93,-30.31,0.2547,-0.1277,0,0.2564,-10.91,0.0,0.0,mature,train,26
partner_34,NA,Services,Registered,51,8,stable,0,5.2,68.1,41,1,0,0.0162,0,9563.2,-0.38,19.54,0.1646,-0.3303,0,0.6136,-1.51,0.0,0.0,mature,train,26
partner_35,NA,Tech,Registered,11,2,declining,3,5.2,21.7,53,0,1,0.7979,1,6508.22,-4.89,-8.02,0.07,-0.3041,0,0.359,-7.87,0.0,0.0,mature,train,26
partner_36,EMEA,Manufacturing,Certified,2,4,stable,4,2.3,52.4,63,3,0,0.1542,0,67215.33,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,38.77,new_partner,train,26
partner_37,EMEA,Tech,Strategic,30,6,declining,4,4.5,41.5,41,0,1,0.2568,0,73077.35,4.37,33.45,0.1805,0.0198,0,0.5,1.39,0.0,0.0,mature,train,26
partner_38,NA,Tech,Registered,15,4,declining,5,2.2,26.2,27,1,0,0.0252,0,5659.34,-5.29,-4.66,0.1183,0.5414,1,0.2308,-8.27,-3.03,0.0,mature,train,26
partner_39,EMEA,Tech,Certified,22,4,declining,4,3.7,11.2,58,0,0,0.7096,0,109289.18,23.6,23.38,0.1722,0.2752,0,1.0,20.62,0.0,0.0,mature,train,26
partner_40,LATAM,Retail,Certified,10,7,improving,0,4.6,45.7,37,4,0,0.1222,0,23526.37,13.99,-23.19,0.1965,-0.2262,0,0.3571,11.55,0.0,0.0,mature,train,26
partner_41,NA,Retail,Registered,20,4,declining,8,6.5,29.9,84,0,1,0.9208,1,14560.73,26.34,-6.93,0.1949,0.7259,1,0.9362,23.9,-9.86,0.0,mature,train,26
partner_42,APAC,Manufacturing,Certified,19,7,declining,3,4.9,66.7,79,2,0,0.0811,0,13389.79,-3.17,-38.07,0.2539,0.0422,0,0.1538,-5.35,0.0,0.0,mature,train,26
partner_43,LATAM,Manufacturing,Certified,17,9,stable,0,2.1,59.1,9,4,0,0.0007,0,26313.32,-24.26,18.67,0.2179,0.8392,1,0.8889,-26.44,6.69,0.0,mature,train,26
partner_44,NA,Manufacturing,Strategic,40,5,stable,2,4.2,54.8,1,4,1,0.0151,0,127002.37,15.23,74.76,0.3774,0.1669,0,0.9091,13.05,0.0,0.0,mature,train,26
partner_45,APAC,Retail,Strategic,31,8,stable,3,4.3,35.9,6,5,0,0.0391,0,29363.51,-7.57,-24.48,0.1856,-0.1905,0,0.1429,-10.01,0.0,0.0,mature,train,26
partner_46,APAC,Tech,Registered,24,5,stable,3,7.1,27.6,27,2,1,0.2631,0,10326.58,-3.9,-24.61,0.2434,-0.1219,0,0.6154,-6.88,0.0,0.0,mature,train,26
partner_47,NA,Retail,Registered,3,10,improving,1,0.5,76.1,11,4,0,0.0,0,2375.44,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,-77.71,new_partner,train,26
partner_48,EMEA,Services,Certified,30,8,improving,5,6.2,45.1,40,2,0,0.0364,0,22398.87,1.66,4.57,0.2251,0.7894,1,0.3529,0.53,-3.81,0.0,mature,train,26
partner_49,LATAM,Services,Registered,7,7,improving,0,0.5,64.6,0,6,0,0.0008,0,10550.78,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,47.91,new_partner,train,26
partner_50,EMEA,Retail,Registered,15,5,declining,6,6.9,32.2,100,0,0,0.7607,1,6289.06,-26.63,-6.83,0.1995,0.8265,1,0.2326,-29.07,-0.7,0.0,mature,train,26
partner_51,EMEA,Manufacturing,Strategic,21,7,stable,4,3.3,18.0,64,0,1,0.2165,1,74708.19,25.05,18.79,0.2348,0.6153,1,0.5385,22.87,10.14,0.0,mature,train,26
partner_52,EMEA,Retail,Registered,5,8,stable,0,1.1,72.7,54,6,0,0.0022,0,3683.38,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,-63.9,new_partner,train,26
partner_53,LATAM,Retail,Registered,19,6,improving,2,3.0,53.3,2,2,0,0.0029,0,6038.05,-1.83,-21.48,0.2063,-0.2677,0,0.28,-4.27,0.0,0.0,mature,train,26
partner_54,LATAM,Retail,Certified,12,7,improving,2,1.9,40.3,58,4,0,0.0076,0,33638.86,1.53,13.74,0.1006,0.3498,0,0.7143,-0.91,0.0,0.0,mature,train,26
partner_55,LATAM,Retail,Registered,46,8,improving,0,2.6,81.2,14,9,1,0.0039,0,3305.51,-4.06,-26.16,0.2272,-0.0059,0,0.12,-6.5,0.0,0.0,mature,train,26
partner_56,LATAM,Manufacturing,Registered,46,8,stable,0,4.7,32.4,22,2,1,0.0408,0,4593.5,8.59,26.44,0.1015,-0.2538,0,0.1304,6.41,0.0,0.0,mature,train,26
partner_57,NA,Services,Strategic,1,9,improving,1,0.5,53.4,31,3,0,0.0015,0,99156.46,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,-42.15,new_partner,train,26
partner_58,NA,Retail,Registered,31,8,improving,1,2.0,85.8,7,1,0,0.0,0,10337.19,-22.26,1.45,0.178,0.6254,1,0.7234,-24.7,7.27,0.0,mature,train,26
partner_59,EMEA,Tech,Registered,34,4,stable,3,4.3,0.0,73,0,1,0.8465,1,12318.31,-4.67,-5.81,0.0732,-0.0459,0,0.7188,-7.65,0.0,0.0,mature,train,26
partner_60,EMEA,Manufacturing,Registered,18,8,stable,8,4.8,65.2,58,3,0,0.117,0,8663.43,-18.13,-31.15,0.3228,-0.1687,0,0.6154,-20.31,0.0,0.0,mature,train,26
partner_61,LATAM,Services,Strategic,24,9,declining,2,4.3,57.4,0,9,0,0.0015,0,32652.05,10.55,13.03,0.1027,-0.555,0,0.2857,9.42,0.0,0.0,mature,train,26
partner_62,NA,Manufacturing,Registered,42,8,improving,3,2.7,53.5,62,2,0,0.0142,0,1987.98,-5.99,-36.44,0.3267,0.277,0,0.0303,-8.17,0.0,0.0,mature,train,26
partner_63,NA,Retail,Certified,18,4,declining,5,3.8,55.6,68,0,1,0.3477,0,44942.19,12.39,15.03,0.2348,0.8435,1,0.8214,9.95,15.82,0.0,mature,train,26
partner_64,LATAM,Manufacturing,Registered,1,2,declining,6,1.9,33.0,50,1,1,0.6699,1,16794.19,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,29.12,new_partner,train,26
partner_65,LATAM,Tech,Registered,18,7,stable,6,6.5,78.7,59,2,0,0.0084,0,9291.02,-6.08,17.06,0.2241,0.5647,1,0.5484,-9.06,1.74,0.0,mature,train,26
partner_66,NA,Services,Strategic,11,9,stable,2,4.7,62.7,35,0,0,0.0022,0,43225.04,7.23,7.67,0.1073,0.2157,0,0.2,6.1,0.0,0.0,mature,train,26
partner_67,NA,Tech,Certified,19,9,declining,1,0.5,73.4,10,4,0,0.0024,0,25488.54,38.11,10.55,0.2332,0.6918,1,0.5,35.13,7.68,0.0,mature,train,26
partner_68,NA,Manufacturing,Strategic,10,9,stable,2,3.5,82.3,9,4,0,0.0005,0,33423.99,-11.41,-34.54,0.2954,-0.2203,0,0.2727,-13.59,0.0,0.0,mature,train,26
partner_69,EMEA,Retail,Registered,5,8,improving,0,0.6,81.8,51,7,0,0.0009,0,8661.51,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,2.92,new_partner,train,26
partner_70,NA,Tech,Certified,54,9,improving,0,1.8,71.3,0,5,0,0.0002,0,22694.35,-1.41,-5.56,0.1512,-0.0552,0,0.4333,-4.39,0.0,0.0,mature,train,26
partner_71,EMEA,Services,Strategic,4,9,improving,3,1.1,56.7,27,3,0,0.0038,0,118115.9,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,8.11,new_partner,train,26
partner_72,NA,Manufacturing,Registered,37,6,stable,4,1.5,16.8,26,0,1,0.2702,0,8982.56,18.19,57.58,0.2091,-0.0691,0,0.6061,16.01,0.0,0.0,mature,train,26
partner_73,APAC,Tech,Registered,38,6,declining,3,4.5,16.0,66,1,0,0.909,1,4818.56,9.71,-26.7,0.2469,0.2161,0,0.1538,6.73,0.0,0.0,mature,train,26
partner_74,EMEA,Services,Strategic,32,9,stable,3,5.9,81.4,31,2,0,0.0017,0,62002.18,-19.88,-40.3,0.2811,0.3548,0,0.3333,-21.01,0.0,0.0,mature,train,26
partner_75,EMEA,Services,Registered,49,3,declining,6,3.2,63.9,31,0,0,0.0673,0,3835.31,-3.28,-30.14,0.3152,-0.6334,0,0.0714,-4.41,0.0,0.0,mature,train,26
partner_76,EMEA,Tech,Certified,1,7,declining,5,5.3,49.8,29,2,1,0.3481,1,28870.3,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,-34.14,new_partner,train,26
partner_77,EMEA,Tech,Strategic,14,3,improving,6,6.9,1.4,67,0,1,0.7254,1,129737.58,-1.48,3.3,0.0901,0.0307,0,0.9,-4.46,0.0,0.0,mature,train,26
partner_78,LATAM,Tech,Registered,7,6,stable,6,4.1,51.3,37,4,0,0.0135,0,21580.27,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,120.16,new_partner,train,26
partner_79,NA,Manufacturing,Registered,30,6,stable,2,6.8,37.5,6,1,0,0.196,0,5988.38,8.31,16.09,0.1033,-0.3493,0,0.1515,6.13,0.0,0.0,mature,train,26
partner_80,LATAM,Tech,Registered,33,10,improving,0,3.7,64.7,7,4,0,0.001,0,14170.9,7.03,37.87,0.2491,0.1407,0,0.9032,4.05,0.0,0.0,mature,train,26
partner_81,LATAM,Retail,Registered,49,7,improving,1,5.3,55.3,29,1,0,0.0122,0,6704.48,6.42,-2.8,0.1782,0.7611,1,0.44,3.98,7.53,0.0,mature,train,26
partner_82,NA,Services,Registered,19,4,stable,2,2.2,56.4,70,2,0,0.1154,0,5102.49,-5.85,0.17,0.1037,-0.3661,0,0.2273,-6.98,0.0,0.0,mature,train,26
partner_83,APAC,Services,Certified,10,3,declining,7,5.7,42.0,73,0,0,0.8677,1,14847.3,-11.13,-23.93,0.2345,-0.1541,0,0.2941,-12.26,0.0,0.0,mature,train,26
partner_84,EMEA,Services,Registered,50,6,improving,2,6.5,67.7,41,0,0,0.1414,0,8102.15,7.1,12.34,0.098,0.1513,0,0.5238,5.97,0.0,0.0,mature,train,26
partner_85,EMEA,Services,Certified,36,8,stable,0,0.9,70.6,38,5,0,0.0043,0,60240.4,21.41,-3.49,0.1621,0.6434,1,0.9706,20.28,-1.6,0.0,mature,train,26
partner_86,EMEA,Manufacturing,Registered,41,6,stable,0,0.5,76.8,14,8,0,0.0005,0,10156.87,11.31,3.28,0.081,0.0564,0,0.7692,9.13,0.0,0.0,mature,train,26
