partner_id,region,vertical,partner_tier,months_as_partner,nps_score,nps_trend,support_tickets_last_quarter,avg_resolution_time_days,engagement_score,days_since_last_contact,num_active_deals,has_competitor_relationship,churn_probability,churned_next_quarter
partner_1,LATAM,Retail,Silver,38,3,declining,13,2.6,0.0,106,0,0,0.9585,1
partner_2,NA,Tech,Bronze,51,8,improving,2,3.9,62.7,37,2,0,0.0033,0
partner_3,APAC,Retail,Gold,40,6,stable,3,5.2,23.6,48,2,0,0.0891,1
partner_4,LATAM,Retail,Silver,37,10,stable,0,1.7,100.0,0,6,0,0.0001,0
partner_5,EMEA,Manufacturing,Bronze,30,4,stable,9,6.1,17.4,71,0,0,0.9296,0
partner_6,APAC,Tech,Gold,17,8,stable,3,2.8,57.6,39,3,1,0.0066,0
partner_7,LATAM,Services,Bronze,19,2,stable,9,5.6,39.9,67,0,0,0.6329,0
partner_8,LATAM,Tech,Bronze,46,8,stable,3,5.6,65.8,58,4,1,0.0327,0
partner_9,EMEA,Manufacturing,Bronze,7,6,stable,0,4.2,64.0,2,3,1,0.0019,0
partner_10,NA,Tech,Silver,7,10,improving,0,3.9,79.2,9,4,0,0.0003,0
partner_11,NA,Manufacturing,Bronze,26,8,improving,1,4.9,70.3,22,3,0,0.0011,0
partner_12,APAC,Manufacturing,Bronze,47,9,improving,0,0.7,81.7,15,3,0,0.0007,0
partner_13,LATAM,Tech,Bronze,41,6,stable,4,5.8,63.9,35,0,1,0.0708,0
partner_14,APAC,Services,Bronze,37,3,improving,1,3.6,22.8,41,0,0,0.0343,0
partner_15,NA,Tech,Bronze,33,8,declining,1,1.4,34.6,10,2,1,0.0298,0
partner_16,EMEA,Retail,Silver,9,4,stable,4,4.7,7.8,80,0,1,0.9456,1
partner_17,NA,Manufacturing,Bronze,22,3,declining,6,7.9,1.3,74,0,1,0.9865,1
partner_18,EMEA,Services,Bronze,7,7,stable,3,3.7,22.1,61,0,0,0.1353,0
partner_19,APAC,Retail,Silver,46,5,declining,5,2.6,9.8,26,0,0,0.1703,0
partner_20,LATAM,Tech,Bronze,46,7,improving,2,0.9,54.8,72,3,0,0.02,0
partner_21,LATAM,Services,Silver,17,6,declining,10,5.4,49.7,49,0,0,0.6501,1
partner_22,NA,Manufacturing,Bronze,19,3,declining,12,4.4,34.1,105,1,0,0.8783,1
partner_23,APAC,Services,Bronze,21,7,improving,3,0.5,56.1,44,2,0,0.0152,0
partner_24,APAC,Tech,Bronze,54,5,declining,5,2.2,35.4,46,1,0,0.512,0
partner_25,LATAM,Manufacturing,Bronze,31,7,improving,4,3.9,83.4,82,2,0,0.0168,0
