partner_id,region,vertical,partner_tier,scoring_path,months_as_partner,avg_monthly_gtv,gtv_trend_3m,gtv_trend_yoy_3m,gtv_seasonal_deviation_pct,gtv_ramp_vs_cohort,nps_score,nps_trend,engagement_score,days_since_last_contact,has_competitor_relationship,predicted_churn_probability,expected_cost_of_inaction,primary_risk_drivers,risk_flag
partner_646,APAC,Tech,Strategic,mature,44,522103.86,10.92,73.06,0.0,0.0,6,declining,41.8,26,0,0.7387,2314101.0,weak/declining NPS,🔴 High Risk
partner_570,NA,Tech,Strategic,mature,14,246896.4,21.27,68.47,0.0,0.0,3,stable,30.4,109,1,0.9636,1427458.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_425,LATAM,Tech,Strategic,mature,59,164909.62,11.69,30.4,0.0,0.0,4,declining,34.0,86,1,0.7772,768961.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_141,NA,Tech,Strategic,mature,21,151888.68,2.49,41.85,0.0,0.0,2,improving,48.6,75,1,0.6995,637439.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_71,EMEA,Services,Strategic,mature,10,117281.68,-2.62,-2.31,0.0,0.0,1,declining,50.4,86,1,0.8932,628546.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_287,EMEA,Tech,Strategic,new_partner,7,107232.8,1.28,1.75,0.0,214.66,5,stable,7.7,89,1,0.7606,489348.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_856,NA,Services,Strategic,mature,53,96259.74,-9.17,-10.59,0.0,0.0,4,declining,45.3,101,1,0.8338,481564.0,"declining GTV, declining year-over-year, weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_352,EMEA,Services,Strategic,new_partner,5,105136.14,1.28,1.75,0.0,279.72,5,stable,21.6,80,1,0.7329,462304.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_39,EMEA,Tech,Certified,mature,28,115604.43,-2.34,10.32,0.0,0.0,4,stable,38.5,57,1,0.657,455680.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_960,NA,Manufacturing,Strategic,mature,35,74364.97,-8.69,3.77,0.0,0.0,2,declining,2.2,85,1,0.9845,439285.0,"declining GTV, weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_508,APAC,Tech,Strategic,mature,31,133064.95,1.86,40.15,0.0,0.0,3,improving,44.9,61,1,0.51,407169.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_138,NA,Tech,Certified,mature,45,69893.55,20.56,29.15,0.0,0.0,2,declining,3.6,97,0,0.9326,391098.0,"weak/declining NPS, long contact gap",🔴 High Risk
partner_789,LATAM,Services,Strategic,mature,17,112588.16,38.74,-12.9,-13.12,0.0,4,stable,39.2,88,1,0.5772,389916.0,"underperforming their own normal season, declining year-over-year, weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_574,LATAM,Services,Certified,mature,39,64046.54,12.71,81.48,0.0,0.0,3,improving,0.0,89,1,0.9697,372632.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_77,EMEA,Tech,Strategic,mature,20,128039.05,-7.74,-6.41,0.0,0.0,6,improving,13.7,40,1,0.4694,360593.0,"declining GTV, competitor relationship",🔴 High Risk
partner_215,LATAM,Retail,Strategic,mature,44,63722.59,3.58,15.58,12.11,0.0,4,declining,34.1,79,1,0.8538,326421.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_180,LATAM,Retail,Strategic,mature,56,236137.44,-9.23,29.1,0.0,0.0,5,improving,42.3,45,1,0.2261,320275.0,"declining GTV, weak/declining NPS, competitor relationship",🔴 High Risk
partner_868,LATAM,Retail,Certified,mature,17,53717.68,1.39,16.45,0.0,0.0,2,stable,8.7,71,1,0.9689,312276.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_359,NA,Manufacturing,Strategic,new_partner,5,99024.34,1.28,1.75,0.0,132.2,4,improving,39.4,42,1,0.5107,303418.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_791,EMEA,Services,Certified,mature,53,50165.46,19.95,104.55,0.0,0.0,1,declining,18.5,101,1,0.9797,294876.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_755,LATAM,Tech,Strategic,mature,41,87120.87,-7.73,-9.9,0.0,0.0,4,declining,53.7,72,1,0.5541,289646.0,"declining GTV, weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_918,EMEA,Manufacturing,Strategic,new_partner,4,184472.93,1.28,1.75,0.0,300.0,4,stable,50.0,39,1,0.248,274527.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_440,LATAM,Services,Certified,mature,22,57617.44,2.44,2.93,0.0,0.0,3,declining,31.4,70,0,0.7808,269929.0,"weak/declining NPS, long contact gap",🔴 High Risk
partner_95,NA,Manufacturing,Strategic,mature,21,158664.14,-2.03,48.9,0.0,0.0,7,declining,37.3,51,1,0.2738,260689.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_37,EMEA,Tech,Strategic,mature,36,77963.08,34.56,53.81,0.0,0.0,4,stable,32.7,48,1,0.5166,241632.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_444,EMEA,Retail,Certified,mature,50,41599.5,-27.86,1.52,0.07,0.0,3,stable,20.4,85,1,0.9503,237204.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_999,APAC,Services,Strategic,mature,27,63378.93,45.72,-7.01,-8.6,0.0,4,declining,43.5,28,1,0.6081,231229.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_192,EMEA,Tech,Certified,new_partner,5,41085.45,1.28,1.75,0.0,6.78,3,declining,51.5,103,1,0.922,227279.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_897,EMEA,Manufacturing,Strategic,mature,18,53204.52,22.83,61.77,0.0,0.0,3,improving,42.7,111,0,0.6999,223425.0,"weak/declining NPS, long contact gap",🔴 High Risk
partner_63,NA,Retail,Certified,mature,24,45490.67,20.77,-7.87,-8.53,0.0,4,declining,9.6,52,1,0.7552,206120.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_643,EMEA,Tech,Certified,mature,59,57658.38,5.69,45.94,0.0,0.0,4,improving,22.2,82,1,0.5773,199716.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_980,EMEA,Retail,Strategic,mature,31,56554.49,-38.24,10.62,14.53,0.0,6,declining,30.6,42,1,0.5879,199498.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_265,APAC,Manufacturing,Certified,mature,34,35384.3,15.32,24.24,0.0,0.0,3,declining,14.4,63,1,0.9234,196048.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_813,APAC,Manufacturing,Certified,mature,26,51554.17,9.59,53.59,0.0,0.0,4,stable,39.5,73,1,0.6338,196036.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_268,EMEA,Services,Certified,new_partner,5,36094.35,1.28,1.75,0.0,-20.84,5,declining,0.9,59,1,0.9039,195760.0,"ramping behind cohort norm for a new partner, weak/declining NPS, competitor relationship",🔴 High Risk
partner_707,LATAM,Retail,Strategic,new_partner,4,203752.24,1.28,1.75,0.0,300.0,8,declining,41.9,43,0,0.1583,193480.0,weak/declining NPS,🔴 High Risk
partner_176,EMEA,Services,Certified,mature,29,32692.32,58.11,17.55,14.6,0.0,2,declining,9.1,50,1,0.9811,192447.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_139,LATAM,Retail,Certified,new_partner,6,70919.08,1.28,1.75,0.0,138.39,5,declining,44.6,37,1,0.4455,189560.0,"weak/declining NPS, competitor relationship",🔴 High Risk
